All-Defensive Selections by Player | Basketball-Reference.com (fetched 2026-07-18)

| Rk | Player | Tot | 1st | 2nd | Tot | 1st | 2nd | Tot |
| 145 | Bill Hanzlik | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 146 | Roy Hibbert | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 147 | Kirk Hinrich | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 148 | Chet Holmgren | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 149 | Al Horford | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 150 | Larry Hughes | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 151 | George Johnson | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 152 | Herbert Jones | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 153 | Wil Jones | 1 | 0 | 0 | 0 | 1 | 0 | 1 |
| 154 | Rudy LaRusso | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 155 | Fat Lever | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 156 | Rick Mahorn | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 157 | Anthony Mason | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 158 | Ted McClain | 1 | 0 | 0 | 0 | 1 | 0 | 1 |
| 159 | Jaden McDaniels | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 160 | Paul Millsap | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 161 | Dejounte Murray | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 162 | Victor Oladipo | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 163 | Bobby Phills | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 164 | Jim Price | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 165 | Willis Reed | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 166 | Mike Riordan | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 167 | Andre Roberson | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 168 | Bill Russell | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 169 | Tom Sanders | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 170 | Thabo Sefolosha | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 171 | Lonnie Shelton | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 172 | Jack Sikma | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 173 | Josh Smith | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 174 | Phil Smith | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 175 | Eric Snow | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 176 | Latrell Sprewell | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 177 | John Starks | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 178 | Jalen Suggs | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 179 | Amen Thompson | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 180 | Ausar Thompson | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 181 | Klay Thompson | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 182 | Dick Van Arsdale | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 183 | Anderson Varejão | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 184 | Danny Vranes | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 185 | John Wall | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 186 | Cason Wallace | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 187 | Gerald Wallace | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 188 | Slick Watts | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 189 | Scott Wedman | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 190 | Hassan Whiteside | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 191 | Micheal Williams | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 192 | Jalen Williams | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 193 | Robert Williams | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 194 | Ivica Zubac | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
